i,scd,src_box4,src_maxd,out_box4,out_bad48,psnr_f0,psnr_f1
605,0.03,138,142,80,460,44.84,41.30
606,0.00,3,5,12,0,48.20,48.21
607,0.02,4,6,12,0,48.01,48.11
608,0.03,148,167,138,759,43.11,43.22
609,0.00,3,5,12,0,48.19,48.21
610,0.02,4,6,12,0,48.02,48.12
611,0.02,148,167,133,773,43.08,43.29
612,0.00,3,5,12,0,48.21,48.22
613,0.02,3,6,12,0,48.03,48.13
614,0.03,137,142,137,1135,41.32,44.93
615,0.00,3,4,12,0,48.22,48.23
616,0.00,3,3,12,0,48.23,48.23
617,0.00,3,3,12,0,48.23,48.23
618,15.23,187,190,177,578383,14.67,15.66
619,0.00,2,2,8,0,48.99,48.99
620,0.00,1,3,8,0,48.99,48.99
621,0.00,0,0,8,0,48.99,48.99
622,0.00,0,0,8,0,48.99,48.99
623,0.00,0,0,8,0,48.99,48.99
624,0.00,0,0,8,0,48.99,48.99
625,0.00,0,0,8,0,48.99,48.99
626,0.00,0,0,8,0,48.99,48.99
627,0.00,0,0,8,0,48.99,48.99
628,0.00,2,3,8,0,48.99,48.99
629,0.00,2,2,8,0,48.99,48.99
630,0.00,1,3,8,0,48.99,48.99
631,0.00,0,0,8,0,48.99,48.99
632,0.00,0,0,8,0,48.99,48.99
633,0.00,0,0,8,0,48.99,48.99
634,0.00,0,0,8,0,48.99,48.99
635,0.00,0,0,8,0,48.99,48.99
636,0.00,0,0,8,0,48.99,48.99
637,0.00,0,0,8,0,48.99,48.99
638,0.00,0,0,8,0,48.99,48.99
639,0.00,0,0,8,0,48.99,48.99
640,0.00,0,0,8,0,48.99,48.99
641,0.00,0,0,8,0,48.99,48.99
642,0.00,0,0,8,0,48.99,48.99
643,0.00,0,0,8,0,48.99,48.99
644,0.00,0,0,8,0,48.99,48.99
645,0.00,0,0,8,0,48.99,48.99
646,0.00,0,0,8,0,48.99,48.99
647,0.00,0,0,8,0,48.99,48.99
648,0.00,0,0,8,0,48.99,48.99
649,0.00,0,0,8,0,48.99,48.99
650,0.00,0,0,8,0,48.99,48.99
651,0.00,0,0,8,0,48.99,48.99
652,0.00,0,0,8,0,48.99,48.99
653,0.00,0,0,8,0,48.99,48.99
654,0.00,0,0,8,0,48.99,48.99
655,0.00,0,0,8,0,48.99,48.99
656,0.00,0,0,8,0,48.99,48.99
657,0.00,0,0,8,0,48.99,48.99
658,0.00,0,0,8,0,48.99,48.99
659,0.00,0,0,8,0,48.99,48.99
660,0.00,0,0,8,0,48.99,48.99
661,0.00,0,0,8,0,48.99,48.99
662,0.00,0,0,8,0,48.99,48.99
663,0.00,0,0,8,0,48.99,48.99
664,0.00,0,0,8,0,48.99,48.99
665,0.00,0,0,8,0,48.99,48.99
666,0.00,0,0,8,0,48.99,48.99
667,0.00,0,0,8,0,48.99,48.99
668,0.00,0,0,8,0,48.99,48.99
669,0.00,0,0,8,0,48.99,48.99
670,0.00,0,0,8,0,48.99,48.99
671,0.00,0,0,8,0,48.99,48.99
672,0.00,0,0,8,0,48.99,48.99
673,0.00,0,0,8,0,48.99,48.99
674,0.00,0,0,8,0,48.99,48.99
675,0.00,0,0,8,0,48.99,48.99
676,0.01,2,5,8,0,48.82,48.89
677,0.00,1,3,8,0,48.98,48.98
678,0.00,1,3,8,0,48.98,48.98
679,0.00,0,0,8,0,48.98,48.98
680,0.00,0,0,8,0,48.98,48.98
681,0.00,0,0,8,0,48.98,48.98
682,0.00,0,0,8,0,48.98,48.98
683,0.00,0,0,8,0,48.98,48.98
684,0.00,0,0,8,0,48.98,48.98
685,0.00,0,0,8,0,48.98,48.98
686,0.00,0,0,8,0,48.98,48.98
687,0.00,0,0,8,0,48.98,48.98
688,0.00,0,0,8,0,48.98,48.98
689,0.00,0,0,8,0,48.98,48.98
690,0.00,0,0,8,0,48.98,48.98
691,0.00,0,0,8,0,48.98,48.98
692,0.00,0,0,8,0,48.98,48.98
693,0.00,0,0,8,0,48.98,48.98
694,0.00,0,0,8,0,48.98,48.98
695,0.00,0,0,8,0,48.98,48.98
696,0.00,0,0,8,0,48.98,48.98
697,0.00,0,0,8,0,48.98,48.98
698,0.00,0,0,8,0,48.98,48.98
699,0.00,0,0,8,0,48.98,48.98
700,0.00,0,0,8,0,48.98,48.98
701,0.00,0,0,8,0,48.98,48.98
702,0.00,0,0,8,0,48.98,48.98
703,0.00,2,2,8,0,48.98,48.98
704,0.00,2,2,8,0,48.98,48.98
705,0.00,2,2,8,0,48.98,48.98
706,0.00,2,2,8,0,48.98,48.98
707,0.00,2,2,8,0,48.98,48.98
708,0.00,2,2,8,0,48.98,48.98
709,0.00,0,0,8,0,48.98,48.98
710,0.00,0,0,8,0,48.98,48.98
711,0.00,1,1,8,0,48.98,48.98
712,0.00,0,0,8,0,48.98,48.98
713,0.01,3,7,8,0,48.88,48.92
714,1.74,152,159,151,55447,25.38,25.60
715,0.00,3,6,7,0,49.15,49.16
716,0.02,4,8,7,0,48.88,49.02
717,1.04,151,171,131,27601,29.02,28.61
